Description,Type
"Sports Awards photos

Hi Di,

Sorry about this, every year I download all these photos and don’t have any problems.

When I click on the green button below to download the zip file, I get the sad face saying the page isn’t working and to clear my cookies. I followed the instructions to clear my cookies but I still get the same message.

I’ve even cleared my cookies and then switched the machine off and on again. It didn’t make any difference.

I can download single photos from the webs",Others
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"Council Tax

Hello

I am able to log onto Council tax but get this message, please can you help?

Many thanks
Roseann

________________________________
",Others
"Password reset, customer can now log in. Customer Verified: Yes.

Closing Call",Lockouts
"Tablet saying no sim & Computer wont turn on

",Others
"FW:

Similar but  different.

From: Rushworth, Paul
Sent: 06 November 2017 10:24
To: ithelp
Subject:

Dear IT

When I open emails a message is appearing notifying me that outlook cannot connect to Iken.

Iken is our legal case management system.  Please can you help me make the message go away?

Thanks

Paul Rushworth |Solicitor
Corporate Services Manager (Legal and Elections) and Deputy Monitoring Officer.
High Peak Borough Council and Staffordshire Moorlands District Council",Others
"Problem with Iken

Hi, just tried to open a new file but it is telling me ‘Unable to create directory [\\ict-file-1\iken\documents\clients\PLA008860]

The number at the end is the next ref no for this file.  Can you help please, thanks N
Nicola de Bruin
Solicitor,
High Peak Borough Council
Market Place
Buxton, Derbyshire
SK17 6EL
01298 28400 ext. 2065


________________________________
",Others
"FW: PLANNED WORK: 4:30pm, TODAY, Mon 6th Nov 2017 - Civica IBS / OPENRevenues Maintenance

Hi.

I have just received a pop up message on my pc advising me to log out of IBS as advised in an earlier e-mail.  I wasn’t aware that I needed to log out as I have not received any e-mail from Northgate today advising me of planned works.

I understand my colleague Julie Bebington did not receive the e-mail either.  The e-mail my colleagues have received is below.

Could this be looked into pleas",Others
"SMDC Cllr. Ross Ward

Cllr. Ward has forgotten his logon password.

Could someone contact him to reset please?

His number is – 07712 640810.

Thank you,

Pat Trafford
Member & Democratic Services Officer
Staffordshire Moorlands District Council and High Peak Borough Council
Tel. 01538 395551. Internal extension 5551


________________________________
",Lockouts
"HPBC and STAL Outlook Issue 

Would like both accounts setting up under one outlook 
Connected and currently has both setup under one account 
Advised to setup a rule to move emails as preferred - Closing 

",Others
"Crystal - Integra Training Environment

                Crystal Reports is used against the Integra environments to write queries and reports.
                I can not find the TRAIN environment in my current connections.
                Where is it?

                Thanks
                                Steve

[cid:image001.png@01D3570E.AAFEA490]

Stephen Robinson
Principal Finance Officer (Financial Reporting)
High Peak BC and Staffordshire Moorlands DC
Tel: (01538) 395400 xtn ",Others
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"unable to print from machine - on attempt system showing printing but printer failing to print 
requested jane test with other used to narrow issue to either pc or printer 
jane to callback later with update

",Others
"Unable to create appointment in calendar in outlook

",Others
"UNABLE TO ACCESS ILAP

",Others
"When I open emails a message is appearing notifying me that outlook cannot connect to Iken.

Iken is our legal case management system.  Please can you help me make the message go away?

Thanks

Paul Rushworth |Solicitor
Corporate Services Manager (Legal and Elections) and Deputy Monitoring Officer.
High Peak Borough Council and Staffordshire Moorlands District Council.
•:paul.rushworth@highpeak.gov.uk<mailto:paul.rushworth@highpeak.gov.uk>
':01538 395459
':07976 753236




______",Others
"Outlook Issues

",Others
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"Telephony Issue 

Andrea advised they were on fixed ext and now moved to hotdesks - should have happened on Friday 
Em""""Extension not recognised"" is recieved when attempting to log into the new hotdesk location 

Contact - 07787736192
Location - Buxton
Asset - N/a 

",Others
"Netcool event for High Peak DC: [ICT-MAIL-B]


Description: [6/11/2017 3:56:37] -  System Memory is currently 99% Used

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [ICT-MAIL-E]


Description: [6/11/2017 0:50:33] -  Windows EMS_AGT Heart Beat Failure

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [HP-GL-HPBC-01]

HP-GL-SS1]
[HPCH-GL-SS2]
[HP-GL-SAN-ETH2]
 [ict-maildrhost-a]
[HP-GL-CoreSwitch01]
[ICT-MAIL-E]
[HP-GL-SAN-ETH0]
[HP-GL-CH-01]
[HP-GL-SG1]
[HPCH-GL-SS1]
[HP-GL-SAN-ETH1]
[HPBC-EFORMS-1]
 [HP-GL-SS2]
[HPCH-GL-SS1]
[HP-GL-CH-02]
 [HP-GL-BC-01]
 [HP-GL-HPBC-01]
[GL-SS1]
[HPCH-GL-SS2]
 [HP-GL-CoreSwitch01]


Description: [6/11/2017 1:1:12] -  DVC Failed - Pings Complete: Timed out

Node is down alert for each node

Departme",Others
"Netcool event for High Peak DC: [ICT-MAIL-B]


Description: [5/11/2017 4:3:36] -  System Memory is currently 99% Used

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Glossop site network down. (has now come back up)

Glossop core router was not responding. x.x.1.1

BT NTE is up and appears OK. 
Suggests issues with either service provider's (6degrees) router onsite or Glossop core router.

Please could these issues be investigated?",Others
"All IT and and phones at Glossop

Please note that there are no phones or PC’s working in the reception area or hot desking suit for more information please call Beth at Glossop on 07884497021

Thanks

Carolyn Bailey
Customer Services Supervisor
High Peak BC & Staffordshire Moorlands DC
Tel: 01538 395420

[Ican logo for ppt]
www.highpeak.gov.uk<http://www.highpeak.gov.uk/>
www.staffsmoorlands.gov.uk<http://www.staffsmoorlands.gov.uk>


________________________________
Do you rea",Others
"I-Lap Access 

Already connected to the database, active sessions must be closed to continue 
Colleagues having the same issue 

Asset - 5059
Contact - 4981
Location - Glossop hotdesk suite 

",Others
"I Build and Lap access issues 

When attempting to access she gets Em"" current active connection is still live"" 
This is affecting others in the hotdesk room. 

Contact - 0845 129 7777 x 5740
Asset - 5069
Location - Glossop 

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Customers account was locked. Unlocked account and reset password, customer can now access fine.",Lockouts
"Customers account was locked. Unlocked account and reset password, customer can now access fine",Lockouts
"DCLG Delta form

                When trying to Save or Submit a form on the DCLG’s Delta portal I am getting the error message below.

                Is this their issue or ours?

                Thanks

[cid:image001.png@01D3549C.7F394F50]

Stephen Robinson
Principal Finance Officer (Financial Reporting)
High Peak BC and Staffordshire Moorlands DC
Tel: (01538) 395400 xtn 4194 Fax: (01538) 395616
Email: stephen.robinson@staffsmoorlands.gov.uk<mailto:stephen.robinson@staffsmoorlan",Others
"FW: P3376 Hand Held Grounds Maintanance Quote Returned

FAO Northgate.

reference 133696 – file path shown below.

Thanks,

Philip Wiggans
Technical Officer - Operational Services
High Peak Borough Council & Staffordshire Moorlands District Council Alliance
Tel. 0345 129 7777 (internal 4508)
Mobile: 07775 756 318
Email: Phil.Wiggans@highpeak.gov.uk<mailto:Phil.Wiggans@highpeak.gov.uk>
www.staffsmoorlands.gov.uk<http://www.staffsmoorlands.gov.uk>
www.highpeak.gov.uk<http://www.high",Others
"AD account unlock and reset 

Unlocked and reset - Closing 

",Lockouts
"RE: Access into R-Drive

Hello

Can you please allow Natalie Thompson access to the R drive asap.

Thank you

Marion

Marion Hancock
High Peak Borough Council
01298 28400 Ext 2133

Buxton Town Hall
Market Place
Buxton
SK17 6EL
www.highpeak.gov.uk<http://www.highpeak.gov.uk>


From: Thompson, Natalie
Sent: 03 November 2017 10:12
To: Northgate ServiceDesk
Cc: Hancock, Marion
Subject: Access into R-Drive

Hi,

Please can I have access into the R-Drive in Elections.

M",Others
"karen called directly - password reset required.

advised should contact  CSC but I would reset this time.",Lockouts
"2147 - Glossop.

Scanner Locked

",Lockouts
"Service Request - Cllr Neal Podmore

Good afternoon,

Could I please log a service request on behalf of Councillor Neal Podmore?

Could someone please telephone Councillor Podmore on his mobile 07737428588 – he is having trouble with his Council Tablet – is unable to get the screen to come up to enter his password.

Many thanks,

Rosemary Cunningham
Member Services Assistant
Staffordshire Moorlands District Council / High Peak Borough Council
Tel:  Internal 4414
       External (01",Others
"
Password reset, customer can now log in

Customer Verified: Yes

Closing Call",Lockouts
"FW: P3376 Hand Held Grounds Maintanance Quote Returned

Hello Northgate,

When I come to look for these documents my S: DRIVE is completely empty. Could you allow me access to the S: Drive so that I can view these folders / documents.

Thanks,

Philip Wiggans
Technical Officer - Operational Services
High Peak Borough Council & Staffordshire Moorlands District Council Alliance
Tel. 0345 129 7777 (internal 4508)
Mobile: 07775 756 318
Email: Phil.Wiggans@highpeak.gov.uk<mailto:Phil.Wig",Others
"Password reset, customer can now log in

Customer Verified: Yes

Closing Call",Lockouts
